
Wildan,bintang 5,"seperti biasa, ueeenaaaakkkk"
RIMURU,bintang 5,"pedes eat sambel varian cumi ciamik nya mantep parah 🌶🦑=🔥🔥🔥🔥🔥, pesanan sampai hanya dalam 2 hari. Pokoknya mantaplah ini toko dan produknya 😁😁😁"
A***r,bintang 5,"bahaya ini...bikin candu, sy buktinya hahahaha 👍"
Ferdy,bintang 3,pengiriman agak lama.. delay 2 hari dari waktu maksimal sampai... potongan cumi lebih sedikit dari sebelum nya
y***b,bintang 5,pedas mantab
w***d,bintang 5,"sambal mantab pengiriman cepat banegt, pesen kemaren lgsg sampe today dong"
Alfred,bintang 5,"Pengiriman cepat, harga bersahabat, packing aman"
A***a,bintang 5,"pedesnya enak bikin nagih, recomended 👍🏻"
z***y,bintang 4,"enak, cuma cuminya kurang banyak. not bad👍🏻"
Zainal,bintang 5,diterima sesuai pesanan.. terima kasih..
Merry,bintang 5,enak poll pokok nya goodlah
I***p,bintang 5,mantap sesuai pesanan bisa dihangatkan
J***y,bintang 5,"udah lama nggak pesen, kangen juga makanya pre-order lagi"
Yahya,bintang 5,mantap pengiriman cepat ⚡ nex order lagi
S***t,bintang 5,ok
Triono,bintang 5,"selalu sesuai deskripsi,sedapppp"
Arief,bintang 5,"kesekian kalinya order, enak fresh dan cuminya lumayan banyak + kerasa"
Wira,bintang 5,"packing aman dan cepat sampai 
Top deh..."
R***e,bintang 4,gk pedas
Adji,bintang 4,enak bingittts!
Wildan,bintang 5,"seperti biasa, enaaaaaakkkkkk"
L***i,bintang 5,sambalnya enak udah repeat order. paket aman pakai Bubble wrap tebal. sampainya juga cepet cuma sehari.
Damana,bintang 5,"enak banget
recomended banget nih"
Ahmads,bintang 5,gk pakai beberapa hari dah nyampe aja nih belum di coba sih semoga sama kayak yang dilihat pas mas yangun makan wkkwkwkk lol
M***d,bintang 4,"Isinya banyak pas lah, kemasannya bagus, rasanya pedas banget tapi kurang gurih dikit juga. Soalnya saya tipikal pecinta sambal gurih asin. Overall enak lah"
F***i,bintang 5,"enak hanya saja sangat pedas, mungkin pecinta pedas akan sangat cocok."
Tri,bintang 5,"wih mantap fast respon, sambel nya Enakk cuman saya dapet cumi yang sedikit.."
Yoga,bintang 5,Recommended seller
Jonetti,bintang 5,super enak... ga salah pilih lah..
Arief,bintang 5,"awenakk poll rasanya pedes seger dan tidak amis, next order lagi 🤤🤤"
Wira,bintang 5,pengiriman cepat dan packing sangat aman
